Waktu Prediksi WIB,Prediksi Debit (m3/s),Model
2026-07-25 17:00:00,31.14,ARX_Iterative_Rolling
2026-07-25 18:00:00,31.01,ARX_Iterative_Rolling
2026-07-25 19:00:00,30.98,ARX_Iterative_Rolling
2026-07-25 20:00:00,30.96,ARX_Iterative_Rolling
2026-07-25 21:00:00,31.05,ARX_Iterative_Rolling
2026-07-25 22:00:00,31.36,ARX_Iterative_Rolling
2026-07-25 23:00:00,31.88,ARX_Iterative_Rolling
2026-07-26 00:00:00,32.55,ARX_Iterative_Rolling
2026-07-26 01:00:00,33.34,ARX_Iterative_Rolling
2026-07-26 02:00:00,34.21,ARX_Iterative_Rolling
2026-07-26 03:00:00,35.11,ARX_Iterative_Rolling
2026-07-26 04:00:00,36.0,ARX_Iterative_Rolling
2026-07-26 05:00:00,36.86,ARX_Iterative_Rolling
2026-07-26 06:00:00,37.69,ARX_Iterative_Rolling
2026-07-26 07:00:00,38.5,ARX_Iterative_Rolling
2026-07-26 08:00:00,39.26,ARX_Iterative_Rolling
2026-07-26 09:00:00,39.96,ARX_Iterative_Rolling
2026-07-26 10:00:00,40.62,ARX_Iterative_Rolling
2026-07-26 11:00:00,41.21,ARX_Iterative_Rolling
2026-07-26 12:00:00,41.78,ARX_Iterative_Rolling
2026-07-26 13:00:00,42.31,ARX_Iterative_Rolling
2026-07-26 14:00:00,42.81,ARX_Iterative_Rolling
2026-07-26 15:00:00,43.28,ARX_Iterative_Rolling
2026-07-26 16:00:00,43.7,ARX_Iterative_Rolling
