Waktu Prediksi WIB,Prediksi Debit (m3/s)
2026-06-30 20:00:00,36.17
2026-06-30 21:00:00,36.23
2026-06-30 22:00:00,36.44
2026-06-30 23:00:00,36.84
2026-07-01 00:00:00,37.4
2026-07-01 01:00:00,38.08
2026-07-01 02:00:00,38.85
2026-07-01 03:00:00,39.66
2026-07-01 04:00:00,40.48
2026-07-01 05:00:00,41.3
2026-07-01 06:00:00,42.08
2026-07-01 07:00:00,42.83
2026-07-01 08:00:00,43.54
2026-07-01 09:00:00,44.19
2026-07-01 10:00:00,44.79
2026-07-01 11:00:00,45.36
2026-07-01 12:00:00,45.88
2026-07-01 13:00:00,46.36
2026-07-01 14:00:00,46.81
2026-07-01 15:00:00,47.22
2026-07-01 16:00:00,47.6
2026-07-01 17:00:00,47.98
2026-07-01 18:00:00,48.33
2026-07-01 19:00:00,48.72
