Waktu Prediksi WIB,Prediksi Debit (m3/s)
2026-09-22 05:00:00,32.98
2026-09-22 06:00:00,33.08
2026-09-22 07:00:00,33.4
2026-09-22 08:00:00,33.86
2026-09-22 09:00:00,34.48
2026-09-22 10:00:00,35.23
2026-09-22 11:00:00,36.04
2026-09-22 12:00:00,36.93
2026-09-22 13:00:00,37.82
2026-09-22 14:00:00,38.64
2026-09-22 15:00:00,39.42
2026-09-22 16:00:00,40.16
2026-09-22 17:00:00,40.87
2026-09-22 18:00:00,41.57
2026-09-22 19:00:00,42.21
2026-09-22 20:00:00,42.77
2026-09-22 21:00:00,43.31
2026-09-22 22:00:00,43.82
2026-09-22 23:00:00,44.29
2026-09-23 00:00:00,44.76
2026-09-23 01:00:00,45.19
2026-09-23 02:00:00,45.6
2026-09-23 03:00:00,46.03
2026-09-23 04:00:00,46.5
