Waktu Prediksi WIB,Prediksi Debit (m3/s),Model
2026-09-22 17:00:00,32.72,ARX_Main_H24_D24
2026-09-22 18:00:00,32.84,ARX_Main_H24_D24
2026-09-22 19:00:00,33.13,ARX_Main_H24_D24
2026-09-22 20:00:00,33.61,ARX_Main_H24_D24
2026-09-22 21:00:00,34.24,ARX_Main_H24_D24
2026-09-22 22:00:00,34.98,ARX_Main_H24_D24
2026-09-22 23:00:00,35.79,ARX_Main_H24_D24
2026-09-23 00:00:00,36.65,ARX_Main_H24_D24
2026-09-23 01:00:00,37.52,ARX_Main_H24_D24
2026-09-23 02:00:00,38.38,ARX_Main_H24_D24
2026-09-23 03:00:00,39.21,ARX_Main_H24_D24
2026-09-23 04:00:00,39.99,ARX_Main_H24_D24
2026-09-23 05:00:00,40.73,ARX_Main_H24_D24
2026-09-23 06:00:00,41.41,ARX_Main_H24_D24
2026-09-23 07:00:00,42.04,ARX_Main_H24_D24
2026-09-23 08:00:00,42.63,ARX_Main_H24_D24
2026-09-23 09:00:00,43.17,ARX_Main_H24_D24
2026-09-23 10:00:00,43.67,ARX_Main_H24_D24
2026-09-23 11:00:00,44.14,ARX_Main_H24_D24
2026-09-23 12:00:00,44.58,ARX_Main_H24_D24
2026-09-23 13:00:00,44.99,ARX_Main_H24_D24
2026-09-23 14:00:00,45.36,ARX_Main_H24_D24
2026-09-23 15:00:00,45.75,ARX_Main_H24_D24
2026-09-23 16:00:00,46.19,ARX_Main_H24_D24
